,keyword,province,type,date,index
0,发烧,911,all,2022-12-01,486
1,发烧,911,all,2022-12-02,521
2,发烧,911,all,2022-12-03,664
3,发烧,911,all,2022-12-04,804
4,发烧,911,all,2022-12-05,1039
5,发烧,911,all,2022-12-06,1129
6,发烧,911,all,2022-12-07,1288
7,发烧,911,all,2022-12-08,1768
8,发烧,911,all,2022-12-09,2148
9,发烧,911,all,2022-12-10,2702
10,发烧,911,all,2022-12-11,3192
11,发烧,911,all,2022-12-12,3426
12,发烧,911,all,2022-12-13,3261
13,发烧,911,all,2022-12-14,3050
14,发烧,911,all,2022-12-15,2697
15,发烧,911,all,2022-12-16,2951
16,发烧,911,all,2022-12-17,2820
17,发烧,911,all,2022-12-18,1857
18,发烧,911,all,2022-12-19,1530
19,发烧,911,all,2022-12-20,1429
20,发烧,911,all,2022-12-21,1248
21,发烧,911,all,2022-12-22,1157
22,发烧,911,all,2022-12-23,1103
23,发烧,911,all,2022-12-24,993
24,发烧,911,all,2022-12-25,984
25,发烧,911,all,2022-12-26,1024
26,发烧,911,all,2022-12-27,786
27,发烧,911,all,2022-12-28,748
28,发烧,911,all,2022-12-29,700
29,发烧,911,all,2022-12-30,506
30,发烧,911,all,2022-12-31,426
31,发烧,911,all,2023-01-01,348
32,发烧,911,pc,2022-12-01,80
33,发烧,911,pc,2022-12-02,110
34,发烧,911,pc,2022-12-03,78
35,发烧,911,pc,2022-12-04,95
36,发烧,911,pc,2022-12-05,151
37,发烧,911,pc,2022-12-06,191
38,发烧,911,pc,2022-12-07,219
39,发烧,911,pc,2022-12-08,305
40,发烧,911,pc,2022-12-09,377
41,发烧,911,pc,2022-12-10,274
42,发烧,911,pc,2022-12-11,355
43,发烧,911,pc,2022-12-12,671
44,发烧,911,pc,2022-12-13,578
45,发烧,911,pc,2022-12-14,560
46,发烧,911,pc,2022-12-15,521
47,发烧,911,pc,2022-12-16,422
48,发烧,911,pc,2022-12-17,236
49,发烧,911,pc,2022-12-18,208
50,发烧,911,pc,2022-12-19,290
51,发烧,911,pc,2022-12-20,279
52,发烧,911,pc,2022-12-21,259
53,发烧,911,pc,2022-12-22,213
54,发烧,911,pc,2022-12-23,200
55,发烧,911,pc,2022-12-24,118
56,发烧,911,pc,2022-12-25,137
57,发烧,911,pc,2022-12-26,183
58,发烧,911,pc,2022-12-27,173
59,发烧,911,pc,2022-12-28,152
60,发烧,911,pc,2022-12-29,129
61,发烧,911,pc,2022-12-30,120
62,发烧,911,pc,2022-12-31,78
63,发烧,911,pc,2023-01-01,80
64,发烧,911,wise,2022-12-01,406
65,发烧,911,wise,2022-12-02,411
66,发烧,911,wise,2022-12-03,586
67,发烧,911,wise,2022-12-04,709
68,发烧,911,wise,2022-12-05,888
69,发烧,911,wise,2022-12-06,938
70,发烧,911,wise,2022-12-07,1069
71,发烧,911,wise,2022-12-08,1463
72,发烧,911,wise,2022-12-09,1771
73,发烧,911,wise,2022-12-10,2428
74,发烧,911,wise,2022-12-11,2837
75,发烧,911,wise,2022-12-12,2755
76,发烧,911,wise,2022-12-13,2683
77,发烧,911,wise,2022-12-14,2490
78,发烧,911,wise,2022-12-15,2176
79,发烧,911,wise,2022-12-16,2529
80,发烧,911,wise,2022-12-17,2584
81,发烧,911,wise,2022-12-18,1649
82,发烧,911,wise,2022-12-19,1240
83,发烧,911,wise,2022-12-20,1150
